name,period,value
PEA,3,0.98
PEA,4,1.02
PEA,5,1.0
PEA,6,1.0
PEA,7,1.0
PEA,8,1.04
PEA,9,1.08
PEA,10,1.1
PEA,11,1.06
PEA,12,1.02
SPINACH,1,0.94
SPINACH,2,0.94
SPINACH,3,0.96
SPINACH,4,1.01
SPINACH,5,1.01
SPINACH,6,1.05
SPINACH,7,1.04
SPINACH,8,1.05
SPINACH,9,1.04
SPINACH,10,1.02
SPINACH,11,1.01
SPINACH,12,0.97
SUGARCANE,1,0.94
SUGARCANE,2,0.96
SUGARCANE,3,1.01
SUGARCANE,4,1.01
SUGARCANE,5,1.05
SUGARCANE,6,1.04
SUGARCANE,7,1.05
SUGARCANE,8,1.04
SUGARCANE,9,1.02
SUGARCANE,10,1.01
SUGARCANE,11,0.97
SUGARCANE,12,0.94
WOODCHIPS,1,1.24
WOODCHIPS,2,0.99
WOODCHIPS,3,0.74
WOODCHIPS,4,0.61
WOODCHIPS,5,0.53
WOODCHIPS,6,0.53
WOODCHIPS,7,0.62
WOODCHIPS,8,0.8
WOODCHIPS,9,1.14
WOODCHIPS,10,1.43
WOODCHIPS,11,1.69
WOODCHIPS,12,1.66
SUGARBEET_CUT,1,1.0
SUGARBEET_CUT,2,0.95
SUGARBEET_CUT,3,0.9
SUGARBEET_CUT,4,0.95
SUGARBEET_CUT,5,1.0
SUGARBEET_CUT,6,1.0
SUGARBEET_CUT,7,1.0
SUGARBEET_CUT,8,1.05
SUGARBEET_CUT,9,1.1
SUGARBEET_CUT,10,1.15
SUGARBEET_CUT,11,1.1
SUGARBEET_CUT,12,1.05
GRASS,1,1.05
GRASS,2,1.02
GRASS,3,0.96
GRASS,4,0.93
GRASS,5,0.9
GRASS,6,0.9
GRASS,7,0.93
GRASS,8,0.99
GRASS,9,1.05
GRASS,10,1.08
GRASS,11,1.11
GRASS,12,1.11
GRASS_WINDROW,1,1.05
GRASS_WINDROW,2,1.02
GRASS_WINDROW,3,0.96
GRASS_WINDROW,4,0.93
GRASS_WINDROW,5,0.9
GRASS_WINDROW,6,0.9
GRASS_WINDROW,7,0.93
GRASS_WINDROW,8,0.99
GRASS_WINDROW,9,1.05
GRASS_WINDROW,10,1.08
GRASS_WINDROW,11,1.11
GRASS_WINDROW,12,1.11
DRYGRASS,1,1.05
DRYGRASS,2,1.02
DRYGRASS,3,0.96
DRYGRASS,4,0.93
DRYGRASS,5,0.9
DRYGRASS,6,0.9
DRYGRASS,7,0.93
DRYGRASS,8,0.99
DRYGRASS,9,1.05
DRYGRASS,10,1.08
DRYGRASS,11,1.11
DRYGRASS,12,1.11
DRYGRASS_WINDROW,1,1.05
DRYGRASS_WINDROW,2,1.02
DRYGRASS_WINDROW,3,0.96
DRYGRASS_WINDROW,4,0.93
DRYGRASS_WINDROW,5,0.9
DRYGRASS_WINDROW,6,0.9
DRYGRASS_WINDROW,7,0.93
DRYGRASS_WINDROW,8,0.99
DRYGRASS_WINDROW,9,1.05
DRYGRASS_WINDROW,10,1.08
DRYGRASS_WINDROW,11,1.11
DRYGRASS_WINDROW,12,1.11
STRAW,1,1.0
STRAW,2,1.07
STRAW,3,0.99
STRAW,4,0.94
STRAW,5,0.85
STRAW,6,0.81
STRAW,7,0.86
STRAW,8,0.99
STRAW,9,1.08
STRAW,10,1.13
STRAW,11,1.21
STRAW,12,1.08
GRAPE,1,1.05
GRAPE,2,1.08
GRAPE,3,1.2
GRAPE,4,1.1
GRAPE,5,1.03
GRAPE,6,0.93
GRAPE,7,0.87
GRAPE,8,0.75
GRAPE,9,0.84
GRAPE,10,0.88
GRAPE,11,0.95
GRAPE,12,0.99
OLIVE,1,0.99
OLIVE,2,1.05
OLIVE,3,1.08
OLIVE,4,1.2
OLIVE,5,1.1
OLIVE,6,1.03
OLIVE,7,0.93
OLIVE,8,0.87
OLIVE,9,0.75
OLIVE,10,0.84
OLIVE,11,0.88
OLIVE,12,0.95
MILK,1,1.06
MILK,2,1.01
MILK,3,0.96
MILK,4,0.9
MILK,5,0.95
MILK,6,0.95
MILK,7,1.03
MILK,8,1.09
MILK,9,0.98
MILK,10,0.96
MILK,11,1.08
MILK,12,1.07
GOATMILK,1,1.06
GOATMILK,2,1.01
GOATMILK,3,0.96
GOATMILK,4,0.9
GOATMILK,5,0.95
GOATMILK,6,0.95
GOATMILK,7,1.03
GOATMILK,8,1.09
GOATMILK,9,0.98
GOATMILK,10,0.96
GOATMILK,11,1.08
GOATMILK,12,1.07
BUFFALOMILK,1,1.06
BUFFALOMILK,2,1.01
BUFFALOMILK,3,0.96
BUFFALOMILK,4,0.9
BUFFALOMILK,5,0.95
BUFFALOMILK,6,0.95
BUFFALOMILK,7,1.03
BUFFALOMILK,8,1.09
BUFFALOMILK,9,0.98
BUFFALOMILK,10,0.96
BUFFALOMILK,11,1.08
BUFFALOMILK,12,1.07
WOOL,1,1.13
WOOL,2,1.25
WOOL,3,1.29
WOOL,4,1.19
WOOL,5,0.99
WOOL,6,0.91
WOOL,7,0.81
WOOL,8,0.77
WOOL,9,0.85
WOOL,10,0.95
WOOL,11,0.93
WOOL,12,0.97
EGG,1,0.79
EGG,2,0.71
EGG,3,0.91
EGG,4,1.1
EGG,5,1.11
EGG,6,0.94
EGG,7,0.94
EGG,8,1.03
EGG,9,1.25
EGG,10,1.21
EGG,11,1.08
EGG,12,0.91
HONEY,1,1.12
HONEY,2,1.08
HONEY,3,1.01
HONEY,4,1.0
HONEY,5,0.96
HONEY,6,0.93
HONEY,7,0.91
HONEY,8,0.94
HONEY,9,0.97
HONEY,10,1.0
HONEY,11,1.03
HONEY,12,1.07
LETTUCE,1,1.05
LETTUCE,2,1.04
LETTUCE,3,1.0
LETTUCE,4,0.99
LETTUCE,5,0.94
LETTUCE,6,0.99
LETTUCE,7,0.92
LETTUCE,8,0.9
LETTUCE,9,0.98
LETTUCE,10,1.01
LETTUCE,11,1.08
LETTUCE,12,1.13
TOMATO,1,1.05
TOMATO,2,1.04
TOMATO,3,1.0
TOMATO,4,0.99
TOMATO,5,0.94
TOMATO,6,0.99
TOMATO,7,0.92
TOMATO,8,0.9
TOMATO,9,0.98
TOMATO,10,1.01
TOMATO,11,1.08
TOMATO,12,1.13
STRAWBERRY,1,1.05
STRAWBERRY,2,1.04
STRAWBERRY,3,1.0
STRAWBERRY,4,0.99
STRAWBERRY,5,0.94
STRAWBERRY,6,0.99
STRAWBERRY,7,0.92
STRAWBERRY,8,0.9
STRAWBERRY,9,0.98
STRAWBERRY,10,1.01
STRAWBERRY,11,1.08
STRAWBERRY,12,1.13
SPRING_ONION,1,1.05
SPRING_ONION,2,1.04
SPRING_ONION,3,1.0
SPRING_ONION,4,0.99
SPRING_ONION,5,0.94
SPRING_ONION,6,0.99
SPRING_ONION,7,0.92
SPRING_ONION,8,0.9
SPRING_ONION,9,0.98
SPRING_ONION,10,1.01
SPRING_ONION,11,1.08
SPRING_ONION,12,1.13
NAPACABBAGE,1,1.05
NAPACABBAGE,2,1.04
NAPACABBAGE,3,1.0
NAPACABBAGE,4,0.99
NAPACABBAGE,5,0.94
NAPACABBAGE,6,0.99
NAPACABBAGE,7,0.92
NAPACABBAGE,8,0.9
NAPACABBAGE,9,0.98
NAPACABBAGE,10,1.01
NAPACABBAGE,11,1.08
NAPACABBAGE,12,1.13
CHILLI,1,1.05
CHILLI,2,1.04
CHILLI,3,1.0
CHILLI,4,0.99
CHILLI,5,0.94
CHILLI,6,0.99
CHILLI,7,0.92
CHILLI,8,0.9
CHILLI,9,0.98
CHILLI,10,1.01
CHILLI,11,1.08
CHILLI,12,1.13
GARLIC,1,1.05
GARLIC,2,1.04
GARLIC,3,1.0
GARLIC,4,0.99
GARLIC,5,0.94
GARLIC,6,0.99
GARLIC,7,0.92
GARLIC,8,0.9
GARLIC,9,0.98
GARLIC,10,1.01
GARLIC,11,1.08
GARLIC,12,1.13
ENOKI,1,1.05
ENOKI,2,1.04
ENOKI,3,1.0
ENOKI,4,0.99
ENOKI,5,0.94
ENOKI,6,0.99
ENOKI,7,0.92
ENOKI,8,0.9
ENOKI,9,0.98
ENOKI,10,1.01
ENOKI,11,1.08
ENOKI,12,1.13
OYSTER,1,1.05
OYSTER,2,1.04
OYSTER,3,1.0
OYSTER,4,0.99
OYSTER,5,0.94
OYSTER,6,0.99
OYSTER,7,0.92
OYSTER,8,0.9
OYSTER,9,0.98
OYSTER,10,1.01
OYSTER,11,1.08
OYSTER,12,1.13
BOARDS,1,0.88
BOARDS,2,0.92
BOARDS,3,1.02
BOARDS,4,1.04
BOARDS,5,1.1
BOARDS,6,1.03
BOARDS,7,1.01
BOARDS,8,0.97
BOARDS,9,0.95
BOARDS,10,0.93
BOARDS,11,0.91
BOARDS,12,0.9
FLOUR,1,1.0
FLOUR,2,1.07
FLOUR,3,0.99
FLOUR,4,0.94
FLOUR,5,0.85
FLOUR,6,0.81
FLOUR,7,0.86
FLOUR,8,0.99
FLOUR,9,1.08
FLOUR,10,1.13
FLOUR,11,1.21
FLOUR,12,1.08
RICEFLOUR,1,1.0
RICEFLOUR,2,1.07
RICEFLOUR,3,0.99
RICEFLOUR,4,0.94
RICEFLOUR,5,0.85
RICEFLOUR,6,0.81
RICEFLOUR,7,0.86
RICEFLOUR,8,0.99
RICEFLOUR,9,1.08
RICEFLOUR,10,1.13
RICEFLOUR,11,1.21
RICEFLOUR,12,1.08
BREAD,1,1.0
BREAD,2,1.07
BREAD,3,0.99
BREAD,4,0.94
BREAD,5,0.85
BREAD,6,0.81
BREAD,7,0.86
BREAD,8,0.99
BREAD,9,1.08
BREAD,10,1.13
BREAD,11,1.21
BREAD,12,1.08
CAKE,1,1.06
CAKE,2,1.01
CAKE,3,0.96
CAKE,4,0.9
CAKE,5,0.95
CAKE,6,0.95
CAKE,7,1.03
CAKE,8,1.09
CAKE,9,0.98
CAKE,10,0.96
CAKE,11,1.08
CAKE,12,1.07
MILK_BOTTLED,1,1.06
MILK_BOTTLED,2,1.01
MILK_BOTTLED,3,0.96
MILK_BOTTLED,4,0.9
MILK_BOTTLED,5,0.95
MILK_BOTTLED,6,0.95
MILK_BOTTLED,7,1.03
MILK_BOTTLED,8,1.09
MILK_BOTTLED,9,0.98
MILK_BOTTLED,10,0.96
MILK_BOTTLED,11,1.08
MILK_BOTTLED,12,1.07
GOATMILK_BOTTLED,1,1.06
GOATMILK_BOTTLED,2,1.01
GOATMILK_BOTTLED,3,0.96
GOATMILK_BOTTLED,4,0.9
GOATMILK_BOTTLED,5,0.95
GOATMILK_BOTTLED,6,0.95
GOATMILK_BOTTLED,7,1.03
GOATMILK_BOTTLED,8,1.09
GOATMILK_BOTTLED,9,0.98
GOATMILK_BOTTLED,10,0.96
GOATMILK_BOTTLED,11,1.08
GOATMILK_BOTTLED,12,1.07
BUFFALOMILK_BOTTLED,1,1.06
BUFFALOMILK_BOTTLED,2,1.01
BUFFALOMILK_BOTTLED,3,0.96
BUFFALOMILK_BOTTLED,4,0.9
BUFFALOMILK_BOTTLED,5,0.95
BUFFALOMILK_BOTTLED,6,0.95
BUFFALOMILK_BOTTLED,7,1.03
BUFFALOMILK_BOTTLED,8,1.09
BUFFALOMILK_BOTTLED,9,0.98
BUFFALOMILK_BOTTLED,10,0.96
BUFFALOMILK_BOTTLED,11,1.08
BUFFALOMILK_BOTTLED,12,1.07
BUTTER,1,1.06
BUTTER,2,1.01
BUTTER,3,0.96
BUTTER,4,0.9
BUTTER,5,0.95
BUTTER,6,0.95
BUTTER,7,1.03
BUTTER,8,1.09
BUTTER,9,0.98
BUTTER,10,0.96
BUTTER,11,1.08
BUTTER,12,1.07
CHEESE,1,1.06
CHEESE,2,1.01
CHEESE,3,0.96
CHEESE,4,0.9
CHEESE,5,0.95
CHEESE,6,0.95
CHEESE,7,1.03
CHEESE,8,1.09
CHEESE,9,0.98
CHEESE,10,0.96
CHEESE,11,1.08
CHEESE,12,1.07
BUFFALOMOZZARELLA,1,1.06
BUFFALOMOZZARELLA,2,1.01
BUFFALOMOZZARELLA,3,0.96
BUFFALOMOZZARELLA,4,0.9
BUFFALOMOZZARELLA,5,0.95
BUFFALOMOZZARELLA,6,0.95
BUFFALOMOZZARELLA,7,1.03
BUFFALOMOZZARELLA,8,1.09
BUFFALOMOZZARELLA,9,0.98
BUFFALOMOZZARELLA,10,0.96
BUFFALOMOZZARELLA,11,1.08
BUFFALOMOZZARELLA,12,1.07
GOATCHEESE,1,1.06
GOATCHEESE,2,1.01
GOATCHEESE,3,0.96
GOATCHEESE,4,0.9
GOATCHEESE,5,0.95
GOATCHEESE,6,0.95
GOATCHEESE,7,1.03
GOATCHEESE,8,1.09
GOATCHEESE,9,0.98
GOATCHEESE,10,0.96
GOATCHEESE,11,1.08
GOATCHEESE,12,1.07
CHOCOLATE,1,0.99
CHOCOLATE,2,1.02
CHOCOLATE,3,1.04
CHOCOLATE,4,1.08
CHOCOLATE,5,0.94
CHOCOLATE,6,0.92
CHOCOLATE,7,0.95
CHOCOLATE,8,0.91
CHOCOLATE,9,0.96
CHOCOLATE,10,1.0
CHOCOLATE,11,1.04
CHOCOLATE,12,1.08
FABRIC,1,1.13
FABRIC,2,1.25
FABRIC,3,1.29
FABRIC,4,1.19
FABRIC,5,0.99
FABRIC,6,0.91
FABRIC,7,0.81
FABRIC,8,0.77
FABRIC,9,0.85
FABRIC,10,0.95
FABRIC,11,0.93
FABRIC,12,0.97
CLOTHES,1,1.13
CLOTHES,2,1.25
CLOTHES,3,1.29
CLOTHES,4,1.19
CLOTHES,5,0.99
CLOTHES,6,0.91
CLOTHES,7,0.81
CLOTHES,8,0.77
CLOTHES,9,0.85
CLOTHES,10,0.95
CLOTHES,11,0.93
CLOTHES,12,0.97
SUGAR,1,0.94
SUGAR,2,0.96
SUGAR,3,1.01
SUGAR,4,1.01
SUGAR,5,1.05
SUGAR,6,1.04
SUGAR,7,1.05
SUGAR,8,1.04
SUGAR,9,1.02
SUGAR,10,1.01
SUGAR,11,0.97
SUGAR,12,0.94
CEREAL,1,1.12
CEREAL,2,1.08
CEREAL,3,0.96
CEREAL,4,1.0
CEREAL,5,0.94
CEREAL,6,1.02
CEREAL,7,0.91
CEREAL,8,1.01
CEREAL,9,0.97
CEREAL,10,1.0
CEREAL,11,1.03
CEREAL,12,1.07
FURNITURE,1,0.88
FURNITURE,2,0.92
FURNITURE,3,1.02
FURNITURE,4,1.04
FURNITURE,5,1.1
FURNITURE,6,1.03
FURNITURE,7,1.01
FURNITURE,8,0.97
FURNITURE,9,0.95
FURNITURE,10,0.93
FURNITURE,11,0.91
FURNITURE,12,0.9
SUNFLOWER_OIL,1,1.2
SUNFLOWER_OIL,2,1.17
SUNFLOWER_OIL,3,1.05
SUNFLOWER_OIL,4,0.87
SUNFLOWER_OIL,5,0.94
SUNFLOWER_OIL,6,0.99
SUNFLOWER_OIL,7,1.1
SUNFLOWER_OIL,8,1.11
SUNFLOWER_OIL,9,1.06
SUNFLOWER_OIL,10,0.65
SUNFLOWER_OIL,11,0.74
SUNFLOWER_OIL,12,1.12
CANOLA_OIL,1,1.07
CANOLA_OIL,2,0.99
CANOLA_OIL,3,0.94
CANOLA_OIL,4,0.85
CANOLA_OIL,5,0.81
CANOLA_OIL,6,0.86
CANOLA_OIL,7,0.99
CANOLA_OIL,8,1.08
CANOLA_OIL,9,1.13
CANOLA_OIL,10,1.21
CANOLA_OIL,11,1.08
CANOLA_OIL,12,1.0
OLIVE_OIL,1,0.99
OLIVE_OIL,2,1.05
OLIVE_OIL,3,1.08
OLIVE_OIL,4,1.2
OLIVE_OIL,5,1.1
OLIVE_OIL,6,1.03
OLIVE_OIL,7,0.93
OLIVE_OIL,8,0.87
OLIVE_OIL,9,0.75
OLIVE_OIL,10,0.84
OLIVE_OIL,11,0.88
OLIVE_OIL,12,0.95
RICE_OIL,1,0.99
RICE_OIL,2,1.05
RICE_OIL,3,1.08
RICE_OIL,4,1.2
RICE_OIL,5,1.1
RICE_OIL,6,1.03
RICE_OIL,7,0.93
RICE_OIL,8,0.87
RICE_OIL,9,0.75
RICE_OIL,10,0.84
RICE_OIL,11,0.88
RICE_OIL,12,0.95
RAISINS,1,1.08
RAISINS,2,1.07
RAISINS,3,1.05
RAISINS,4,0.97
RAISINS,5,0.94
RAISINS,6,0.99
RAISINS,7,1.1
RAISINS,8,1.11
RAISINS,9,1.06
RAISINS,10,0.95
RAISINS,11,0.91
RAISINS,12,0.99
GRAPEJUICE,1,1.02
GRAPEJUICE,2,1.04
GRAPEJUICE,3,1.05
GRAPEJUICE,4,0.99
GRAPEJUICE,5,0.94
GRAPEJUICE,6,0.99
GRAPEJUICE,7,1.02
GRAPEJUICE,8,1.05
GRAPEJUICE,9,1.08
GRAPEJUICE,10,1.01
GRAPEJUICE,11,0.96
GRAPEJUICE,12,1.12
SEEDS,1,1.0
SEEDS,2,1.07
SEEDS,3,0.99
SEEDS,4,0.94
SEEDS,5,0.85
SEEDS,6,0.81
SEEDS,7,0.86
SEEDS,8,0.99
SEEDS,9,1.08
SEEDS,10,1.13
SEEDS,11,1.21
SEEDS,12,1.08
MANURE,1,1.06
MANURE,2,1.03
MANURE,3,0.97
MANURE,4,0.92
MANURE,5,0.89
MANURE,6,0.89
MANURE,7,0.93
MANURE,8,0.98
MANURE,9,1.05
MANURE,10,1.08
MANURE,11,1.11
MANURE,12,1.11
LIQUIDMANURE,1,1.06
LIQUIDMANURE,2,1.03
LIQUIDMANURE,3,0.97
LIQUIDMANURE,4,0.92
LIQUIDMANURE,5,0.89
LIQUIDMANURE,6,0.89
LIQUIDMANURE,7,0.93
LIQUIDMANURE,8,0.98
LIQUIDMANURE,9,1.05
LIQUIDMANURE,10,1.08
LIQUIDMANURE,11,1.11
LIQUIDMANURE,12,1.11
DIGESTATE,1,1.06
DIGESTATE,2,1.03
DIGESTATE,3,0.97
DIGESTATE,4,0.92
DIGESTATE,5,0.89
DIGESTATE,6,0.89
DIGESTATE,7,0.93
DIGESTATE,8,0.98
DIGESTATE,9,1.05
DIGESTATE,10,1.08
DIGESTATE,11,1.11
DIGESTATE,12,1.11
WATER,1,0.95
WATER,2,0.97
WATER,3,1.0
WATER,4,1.0
WATER,5,1.05
WATER,6,1.1
WATER,7,1.15
WATER,8,1.1
WATER,9,1.1
WATER,10,1.05
WATER,11,1.0
WATER,12,0.97
CHAFF,1,1.08
CHAFF,2,1.04
CHAFF,3,1.0
CHAFF,4,0.96
CHAFF,5,1.0
CHAFF,6,0.95
CHAFF,7,0.93
CHAFF,8,1.06
CHAFF,9,1.08
CHAFF,10,1.11
CHAFF,11,1.12
CHAFF,12,1.13
