id,type,subtype,unit_max,point_cost,point_upkeep,revenue_day,has_manure,price_buy_unit,animal_cost,fill_type,consumption,prod_wgt,cost_day_unit,cost_day,revenue_day_adj,profit_day,point_animal_cost,cost_recoup_days
chickenCoop02,CHICKEN,CHICKEN,20,5700.0,10.0,112.0,0,55.0,1100.0,SORGHUM,SERIAL,1.0,2.15,43.0,112.0,59.0,6800.0,115.254237288136
chickenCoop02,CHICKEN,CHICKEN,20,5700.0,10.0,112.0,0,55.0,1100.0,WHEAT,SERIAL,1.0,1.685,33.7,112.0,68.3,6800.0,99.5607613469985
chickenCoop03,CHICKEN,CHICKEN,30,4400.0,10.0,168.0,0,55.0,1650.0,BARLEY,SERIAL,1.0,1.565,46.95,168.0,111.05,6050.0,54.4799639801891
chickenCoop03,CHICKEN,CHICKEN,30,4400.0,10.0,168.0,0,55.0,1650.0,SORGHUM,SERIAL,1.0,2.15,64.5,168.0,93.5,6050.0,64.7058823529412
chickenCoop03,CHICKEN,CHICKEN,30,4400.0,10.0,168.0,0,55.0,1650.0,WHEAT,SERIAL,1.0,1.685,50.55,168.0,107.45,6050.0,56.3052582596556
cowBarn,COW,COW_ANGUS,35,110000.0,225.0,346.5,1,3100.0,108500.0,DRYGRASS_WINDROW,SERIAL,0.8,36.13,1264.55,277.2,-1212.35,218500.0,-180.228481874046
cowBarn,COW,COW_ANGUS,35,110000.0,225.0,346.5,1,3100.0,108500.0,FORAGE,SERIAL,1.0,40.805,1428.175,346.5,-1306.675,218500.0,-167.218321311726
cowBarn,COW,COW_ANGUS,35,110000.0,225.0,346.5,1,3100.0,108500.0,GRASS_WINDROW,SERIAL,0.4,30.08,1052.8,138.6,-1139.2,218500.0,-191.801264044944
cowBarn,COW,COW_ANGUS,35,110000.0,225.0,346.5,1,3100.0,108500.0,SILAGE,SERIAL,0.8,71.88,2515.8,277.2,-2463.6,218500.0,-88.6913459977269
cowBarn,COW,COW_HOLSTEIN,35,110000.0,225.0,231.0,1,1600.0,56000.0,DRYGRASS_WINDROW,SERIAL,0.8,23.495,822.325,184.8,-862.525,166000.0,-192.458189617692
cowBarn,COW,COW_HOLSTEIN,35,110000.0,225.0,231.0,1,1600.0,56000.0,FORAGE,SERIAL,1.0,26.47,926.45,231.0,-920.45,166000.0,-180.346569612689
cowBarn,COW,COW_HOLSTEIN,35,110000.0,225.0,231.0,1,1600.0,56000.0,GRASS_WINDROW,SERIAL,0.4,19.645,687.575,92.4,-820.175,166000.0,-202.395830158198
cowBarn,COW,COW_HOLSTEIN,35,110000.0,225.0,231.0,1,1600.0,56000.0,SILAGE,SERIAL,0.8,46.245,1618.575,184.8,-1658.775,166000.0,-100.073849678226
cowBarn,COW,COW_LIMOUSIN,35,110000.0,225.0,346.5,1,3100.0,108500.0,DRYGRASS_WINDROW,SERIAL,0.8,36.13,1264.55,277.2,-1212.35,218500.0,-180.228481874046
cowBarn,COW,COW_LIMOUSIN,35,110000.0,225.0,346.5,1,3100.0,108500.0,FORAGE,SERIAL,1.0,40.805,1428.175,346.5,-1306.675,218500.0,-167.218321311726
cowBarn,COW,COW_LIMOUSIN,35,110000.0,225.0,346.5,1,3100.0,108500.0,GRASS_WINDROW,SERIAL,0.4,30.08,1052.8,138.6,-1139.2,218500.0,-191.801264044944
cowBarn,COW,COW_LIMOUSIN,35,110000.0,225.0,346.5,1,3100.0,108500.0,SILAGE,SERIAL,0.8,71.88,2515.8,277.2,-2463.6,218500.0,-88.6913459977269
cowBarn,COW,COW_SWISS_BROWN,35,110000.0,225.0,231.0,1,1600.0,56000.0,DRYGRASS_WINDROW,SERIAL,0.8,23.495,822.325,184.8,-862.525,166000.0,-192.458189617692
cowBarn,COW,COW_SWISS_BROWN,35,110000.0,225.0,231.0,1,1600.0,56000.0,FORAGE,SERIAL,1.0,26.47,926.45,231.0,-920.45,166000.0,-180.346569612689
cowBarn,COW,COW_SWISS_BROWN,35,110000.0,225.0,231.0,1,1600.0,56000.0,GRASS_WINDROW,SERIAL,0.4,19.645,687.575,92.4,-820.175,166000.0,-202.395830158198
cowBarn,COW,COW_SWISS_BROWN,35,110000.0,225.0,231.0,1,1600.0,56000.0,SILAGE,SERIAL,0.8,46.245,1618.575,184.8,-1658.775,166000.0,-100.073849678226
cowBarn,COW,COW_WATERBUFFALO,35,110000.0,225.0,346.5,1,1600.0,56000.0,DRYGRASS_WINDROW,SERIAL,0.8,23.495,822.325,277.2,-770.125,166000.0,-215.549423794839
cowBarn,COW,COW_WATERBUFFALO,35,110000.0,225.0,346.5,1,1600.0,56000.0,FORAGE,SERIAL,1.0,26.47,926.45,346.5,-804.95,166000.0,-206.223989067644
cowBarn,COW,COW_WATERBUFFALO,35,110000.0,225.0,346.5,1,1600.0,56000.0,GRASS_WINDROW,SERIAL,0.4,19.645,687.575,138.6,-773.975,166000.0,-214.477211796247
cowBarn,COW,COW_WATERBUFFALO,35,110000.0,225.0,346.5,1,1600.0,56000.0,SILAGE,SERIAL,0.8,46.245,1618.575,277.2,-1566.375,166000.0,-105.977176602027
cowBarnBig,COW,COW_ANGUS,96,543500.0,225.0,1742.4,1,3100.0,297600.0,DRYGRASS_WINDROW,SERIAL,0.8,36.13,3468.48,1393.92,-2299.56,841100.0,-365.765624728209
cowBarnBig,COW,COW_ANGUS,96,543500.0,225.0,1742.4,1,3100.0,297600.0,FORAGE,SERIAL,1.0,40.805,3917.28,1742.4,-2399.88,841100.0,-350.47585712619
cowBarnBig,COW,COW_ANGUS,96,543500.0,225.0,1742.4,1,3100.0,297600.0,GRASS_WINDROW,SERIAL,0.4,30.08,2887.68,696.96,-2415.72,841100.0,-348.177768946732
cowBarnBig,COW,COW_ANGUS,96,543500.0,225.0,1742.4,1,3100.0,297600.0,SILAGE,SERIAL,0.8,71.88,6900.48,1393.92,-5731.56,841100.0,-146.748878141379
cowBarnBig,COW,COW_HOLSTEIN,96,543500.0,225.0,11505.6,1,1600.0,153600.0,DRYGRASS_WINDROW,SERIAL,0.8,23.495,2255.52,9204.48,6723.96,697100.0,103.674025425493
cowBarnBig,COW,COW_HOLSTEIN,96,543500.0,225.0,11505.6,1,1600.0,153600.0,FORAGE,SERIAL,1.0,26.47,2541.12,11505.6,8739.48,697100.0,79.7644711126978
cowBarnBig,COW,COW_HOLSTEIN,96,543500.0,225.0,11505.6,1,1600.0,153600.0,GRASS_WINDROW,SERIAL,0.4,19.645,1885.92,4602.24,2491.32,697100.0,279.81150554726
cowBarnBig,COW,COW_HOLSTEIN,96,543500.0,225.0,11505.6,1,1600.0,153600.0,SILAGE,SERIAL,0.8,46.245,4439.52,9204.48,4539.96,697100.0,153.547608348972
cowBarnBig,COW,COW_LIMOUSIN,96,543500.0,225.0,1742.4,1,3100.0,297600.0,DRYGRASS_WINDROW,SERIAL,0.8,36.13,3468.48,1393.92,-2299.56,841100.0,-365.765624728209
cowBarnBig,COW,COW_LIMOUSIN,96,543500.0,225.0,1742.4,1,3100.0,297600.0,FORAGE,SERIAL,1.0,40.805,3917.28,1742.4,-2399.88,841100.0,-350.47585712619
cowBarnBig,COW,COW_LIMOUSIN,96,543500.0,225.0,1742.4,1,3100.0,297600.0,GRASS_WINDROW,SERIAL,0.4,30.08,2887.68,696.96,-2415.72,841100.0,-348.177768946732
cowBarnBig,COW,COW_LIMOUSIN,96,543500.0,225.0,1742.4,1,3100.0,297600.0,SILAGE,SERIAL,0.8,71.88,6900.48,1393.92,-5731.56,841100.0,-146.748878141379
cowBarnBig,COW,COW_SWISS_BROWN,96,543500.0,225.0,11505.6,1,1600.0,153600.0,DRYGRASS_WINDROW,SERIAL,0.8,23.495,2255.52,9204.48,6723.96,697100.0,103.674025425493
cowBarnBig,COW,COW_SWISS_BROWN,96,543500.0,225.0,11505.6,1,1600.0,153600.0,FORAGE,SERIAL,1.0,26.47,2541.12,11505.6,8739.48,697100.0,79.7644711126978
cowBarnBig,COW,COW_SWISS_BROWN,96,543500.0,225.0,11505.6,1,1600.0,153600.0,GRASS_WINDROW,SERIAL,0.4,19.645,1885.92,4602.24,2491.32,697100.0,279.81150554726
cowBarnBig,COW,COW_SWISS_BROWN,96,543500.0,225.0,11505.6,1,1600.0,153600.0,SILAGE,SERIAL,0.8,46.245,4439.52,9204.48,4539.96,697100.0,153.547608348972
cowBarnBig,COW,COW_WATERBUFFALO,96,543500.0,225.0,11822.4,1,1600.0,153600.0,DRYGRASS_WINDROW,SERIAL,0.8,23.495,2255.52,9457.92,6977.4,697100.0,99.9082752887895
cowBarnBig,COW,COW_WATERBUFFALO,96,543500.0,225.0,11822.4,1,1600.0,153600.0,FORAGE,SERIAL,1.0,26.47,2541.12,11822.4,9056.28,697100.0,76.9742101613466
cowBarnBig,COW,COW_WATERBUFFALO,96,543500.0,225.0,11822.4,1,1600.0,153600.0,GRASS_WINDROW,SERIAL,0.4,19.645,1885.92,4728.96,2618.04,697100.0,266.267895066538
cowBarnBig,COW,COW_WATERBUFFALO,96,543500.0,225.0,11822.4,1,1600.0,153600.0,SILAGE,SERIAL,0.8,46.245,4439.52,9457.92,4793.4,697100.0,145.429131722786
cowBarnBigVector,COW,COW_ANGUS,93,747500.0,375.0,1687.95,1,3100.0,288300.0,DRYGRASS_WINDROW,SERIAL,0.8,36.13,3360.09,1350.36,-2384.73,1035800.0,-434.346865263573
cowBarnBigVector,COW,COW_ANGUS,93,747500.0,375.0,1687.95,1,3100.0,288300.0,FORAGE,SERIAL,1.0,40.805,3794.865,1687.95,-2481.915,1035800.0,-417.339030546977
cowBarnBigVector,COW,COW_ANGUS,93,747500.0,375.0,1687.95,1,3100.0,288300.0,GRASS_WINDROW,SERIAL,0.4,30.08,2797.44,675.18,-2497.26,1035800.0,-414.774592953877
cowBarnBigVector,COW,COW_ANGUS,93,747500.0,375.0,1687.95,1,3100.0,288300.0,SILAGE,SERIAL,0.8,71.88,6684.84,1350.36,-5709.48,1035800.0,-181.417572178202
cowBarnBigVector,COW,COW_HOLSTEIN,93,747500.0,375.0,11146.05,1,1600.0,148800.0,DRYGRASS_WINDROW,SERIAL,0.8,23.495,2185.035,8916.84,6356.805,896300.0,140.998504751994
cowBarnBigVector,COW,COW_HOLSTEIN,93,747500.0,375.0,11146.05,1,1600.0,148800.0,FORAGE,SERIAL,1.0,26.47,2461.71,11146.05,8309.34,896300.0,107.866569426693
cowBarnBigVector,COW,COW_HOLSTEIN,93,747500.0,375.0,11146.05,1,1600.0,148800.0,GRASS_WINDROW,SERIAL,0.4,19.645,1826.985,4458.42,2256.435,896300.0,397.219507763352
cowBarnBigVector,COW,COW_HOLSTEIN,93,747500.0,375.0,11146.05,1,1600.0,148800.0,SILAGE,SERIAL,0.8,46.245,4300.785,8916.84,4241.055,896300.0,211.338923923411
cowBarnBigVector,COW,COW_LIMOUSIN,93,747500.0,375.0,1687.95,1,3100.0,288300.0,DRYGRASS_WINDROW,SERIAL,0.8,36.13,3360.09,1350.36,-2384.73,1035800.0,-434.346865263573
cowBarnBigVector,COW,COW_LIMOUSIN,93,747500.0,375.0,1687.95,1,3100.0,288300.0,FORAGE,SERIAL,1.0,40.805,3794.865,1687.95,-2481.915,1035800.0,-417.339030546977
cowBarnBigVector,COW,COW_LIMOUSIN,93,747500.0,375.0,1687.95,1,3100.0,288300.0,GRASS_WINDROW,SERIAL,0.4,30.08,2797.44,675.18,-2497.26,1035800.0,-414.774592953877
cowBarnBigVector,COW,COW_LIMOUSIN,93,747500.0,375.0,1687.95,1,3100.0,288300.0,SILAGE,SERIAL,0.8,71.88,6684.84,1350.36,-5709.48,1035800.0,-181.417572178202
cowBarnBigVector,COW,COW_SWISS_BROWN,93,747500.0,375.0,11146.05,1,1600.0,148800.0,DRYGRASS_WINDROW,SERIAL,0.8,23.495,2185.035,8916.84,6356.805,896300.0,140.998504751994
cowBarnBigVector,COW,COW_SWISS_BROWN,93,747500.0,375.0,11146.05,1,1600.0,148800.0,FORAGE,SERIAL,1.0,26.47,2461.71,11146.05,8309.34,896300.0,107.866569426693
cowBarnBigVector,COW,COW_SWISS_BROWN,93,747500.0,375.0,11146.05,1,1600.0,148800.0,GRASS_WINDROW,SERIAL,0.4,19.645,1826.985,4458.42,2256.435,896300.0,397.219507763352
cowBarnBigVector,COW,COW_SWISS_BROWN,93,747500.0,375.0,11146.05,1,1600.0,148800.0,SILAGE,SERIAL,0.8,46.245,4300.785,8916.84,4241.055,896300.0,211.338923923411
cowBarnBigVector,COW,COW_WATERBUFFALO,93,747500.0,375.0,11452.95,1,1600.0,148800.0,DRYGRASS_WINDROW,SERIAL,0.8,23.495,2185.035,9162.36,6602.325,896300.0,135.755207445862
cowBarnBigVector,COW,COW_WATERBUFFALO,93,747500.0,375.0,11452.95,1,1600.0,148800.0,FORAGE,SERIAL,1.0,26.47,2461.71,11452.95,8616.24,896300.0,104.024493282453
cowBarnBigVector,COW,COW_WATERBUFFALO,93,747500.0,375.0,11452.95,1,1600.0,148800.0,GRASS_WINDROW,SERIAL,0.4,19.645,1826.985,4581.18,2379.195,896300.0,376.724060028707
cowBarnBigVector,COW,COW_WATERBUFFALO,93,747500.0,375.0,11452.95,1,1600.0,148800.0,SILAGE,SERIAL,0.8,46.245,4300.785,9162.36,4486.575,896300.0,199.773769523523
cowBarnMedium,COW,COW_ANGUS,50,279000.0,175.0,907.5,1,3100.0,155000.0,DRYGRASS_WINDROW,SERIAL,0.8,36.13,1806.5,726.0,-1255.5,434000.0,-345.679012345679
cowBarnMedium,COW,COW_ANGUS,50,279000.0,175.0,907.5,1,3100.0,155000.0,FORAGE,SERIAL,1.0,40.805,2040.25,907.5,-1307.75,434000.0,-331.867711718601
cowBarnMedium,COW,COW_ANGUS,50,279000.0,175.0,907.5,1,3100.0,155000.0,GRASS_WINDROW,SERIAL,0.4,30.08,1504.0,363.0,-1316.0,434000.0,-329.787234042553
cowBarnMedium,COW,COW_ANGUS,50,279000.0,175.0,907.5,1,3100.0,155000.0,SILAGE,SERIAL,0.8,71.88,3594.0,726.0,-3043.0,434000.0,-142.622412093329
cowBarnMedium,COW,COW_HOLSTEIN,50,279000.0,175.0,5992.5,1,1600.0,80000.0,DRYGRASS_WINDROW,SERIAL,0.8,23.495,1174.75,4794.0,3444.25,359000.0,104.231690498657
cowBarnMedium,COW,COW_HOLSTEIN,50,279000.0,175.0,5992.5,1,1600.0,80000.0,FORAGE,SERIAL,1.0,26.47,1323.5,5992.5,4494.0,359000.0,79.884290164664
cowBarnMedium,COW,COW_HOLSTEIN,50,279000.0,175.0,5992.5,1,1600.0,80000.0,GRASS_WINDROW,SERIAL,0.4,19.645,982.25,2397.0,1239.75,359000.0,289.574510990119
cowBarnMedium,COW,COW_HOLSTEIN,50,279000.0,175.0,5992.5,1,1600.0,80000.0,SILAGE,SERIAL,0.8,46.245,2312.25,4794.0,2306.75,359000.0,155.630215671399
cowBarnMedium,COW,COW_LIMOUSIN,50,279000.0,175.0,907.5,1,3100.0,155000.0,DRYGRASS_WINDROW,SERIAL,0.8,36.13,1806.5,726.0,-1255.5,434000.0,-345.679012345679
cowBarnMedium,COW,COW_LIMOUSIN,50,279000.0,175.0,907.5,1,3100.0,155000.0,FORAGE,SERIAL,1.0,40.805,2040.25,907.5,-1307.75,434000.0,-331.867711718601
cowBarnMedium,COW,COW_LIMOUSIN,50,279000.0,175.0,907.5,1,3100.0,155000.0,GRASS_WINDROW,SERIAL,0.4,30.08,1504.0,363.0,-1316.0,434000.0,-329.787234042553
cowBarnMedium,COW,COW_LIMOUSIN,50,279000.0,175.0,907.5,1,3100.0,155000.0,SILAGE,SERIAL,0.8,71.88,3594.0,726.0,-3043.0,434000.0,-142.622412093329
cowBarnMedium,COW,COW_SWISS_BROWN,50,279000.0,175.0,5992.5,1,1600.0,80000.0,DRYGRASS_WINDROW,SERIAL,0.8,23.495,1174.75,4794.0,3444.25,359000.0,104.231690498657
cowBarnMedium,COW,COW_SWISS_BROWN,50,279000.0,175.0,5992.5,1,1600.0,80000.0,FORAGE,SERIAL,1.0,26.47,1323.5,5992.5,4494.0,359000.0,79.884290164664
cowBarnMedium,COW,COW_SWISS_BROWN,50,279000.0,175.0,5992.5,1,1600.0,80000.0,GRASS_WINDROW,SERIAL,0.4,19.645,982.25,2397.0,1239.75,359000.0,289.574510990119
cowBarnMedium,COW,COW_SWISS_BROWN,50,279000.0,175.0,5992.5,1,1600.0,80000.0,SILAGE,SERIAL,0.8,46.245,2312.25,4794.0,2306.75,359000.0,155.630215671399
cowBarnMedium,COW,COW_WATERBUFFALO,50,279000.0,175.0,6157.5,1,1600.0,80000.0,DRYGRASS_WINDROW,SERIAL,0.8,23.495,1174.75,4926.0,3576.25,359000.0,100.384480950717
cowBarnMedium,COW,COW_WATERBUFFALO,50,279000.0,175.0,6157.5,1,1600.0,80000.0,FORAGE,SERIAL,1.0,26.47,1323.5,6157.5,4659.0,359000.0,77.0551620519425
cowBarnMedium,COW,COW_WATERBUFFALO,50,279000.0,175.0,6157.5,1,1600.0,80000.0,GRASS_WINDROW,SERIAL,0.4,19.645,982.25,2463.0,1305.75,359000.0,274.937775224967
cowBarnMedium,COW,COW_WATERBUFFALO,50,279000.0,175.0,6157.5,1,1600.0,80000.0,SILAGE,SERIAL,0.8,46.245,2312.25,4926.0,2438.75,359000.0,147.206560738083
horseBarn,HORSE,HORSE_BAY,13,135000.0,50.0,85.8,1,5300.0,68900.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,851.76,90.09,-811.67,203900.0,-251.210467308142
horseBarn,HORSE,HORSE_BLACK,13,135000.0,50.0,85.8,1,5300.0,68900.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,851.76,90.09,-811.67,203900.0,-251.210467308142
horseBarn,HORSE,HORSE_CHESTNUT,13,135000.0,50.0,85.8,1,5300.0,68900.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,851.76,90.09,-811.67,203900.0,-251.210467308142
horseBarn,HORSE,HORSE_DUN,13,135000.0,50.0,85.8,1,5300.0,68900.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,851.76,90.09,-811.67,203900.0,-251.210467308142
horseBarn,HORSE,HORSE_GRAY,13,135000.0,50.0,85.8,1,5300.0,68900.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,851.76,90.09,-811.67,203900.0,-251.210467308142
horseBarn,HORSE,HORSE_PALOMINO,13,135000.0,50.0,85.8,1,5300.0,68900.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,851.76,90.09,-811.67,203900.0,-251.210467308142
horseBarn,HORSE,HORSE_PINTO,13,135000.0,50.0,85.8,1,5300.0,68900.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,851.76,90.09,-811.67,203900.0,-251.210467308142
horseBarn,HORSE,HORSE_SEAL_BROWN,13,135000.0,50.0,85.8,1,5300.0,68900.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,851.76,90.09,-811.67,203900.0,-251.210467308142
horseBarnBig,HORSE,HORSE_BAY,16,150000.0,175.0,105.6,1,5300.0,84800.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,1048.32,110.88,-1112.44,234800.0,-211.06756319442
horseBarnBig,HORSE,HORSE_BLACK,16,150000.0,175.0,105.6,1,5300.0,84800.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,1048.32,110.88,-1112.44,234800.0,-211.06756319442
horseBarnBig,HORSE,HORSE_CHESTNUT,16,150000.0,175.0,105.6,1,5300.0,84800.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,1048.32,110.88,-1112.44,234800.0,-211.06756319442
horseBarnBig,HORSE,HORSE_DUN,16,150000.0,175.0,105.6,1,5300.0,84800.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,1048.32,110.88,-1112.44,234800.0,-211.06756319442
horseBarnBig,HORSE,HORSE_GRAY,16,150000.0,175.0,105.6,1,5300.0,84800.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,1048.32,110.88,-1112.44,234800.0,-211.06756319442
horseBarnBig,HORSE,HORSE_PALOMINO,16,150000.0,175.0,105.6,1,5300.0,84800.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,1048.32,110.88,-1112.44,234800.0,-211.06756319442
horseBarnBig,HORSE,HORSE_PINTO,16,150000.0,175.0,105.6,1,5300.0,84800.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,1048.32,110.88,-1112.44,234800.0,-211.06756319442
horseBarnBig,HORSE,HORSE_SEAL_BROWN,16,150000.0,175.0,105.6,1,5300.0,84800.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,1048.32,110.88,-1112.44,234800.0,-211.06756319442
horseBarnMedium,HORSE,HORSE_BAY,16,143500.0,125.0,105.6,1,5300.0,84800.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,1048.32,110.88,-1062.44,228300.0,-214.882722789052
horseBarnMedium,HORSE,HORSE_BLACK,16,143500.0,125.0,105.6,1,5300.0,84800.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,1048.32,110.88,-1062.44,228300.0,-214.882722789052
horseBarnMedium,HORSE,HORSE_CHESTNUT,16,143500.0,125.0,105.6,1,5300.0,84800.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,1048.32,110.88,-1062.44,228300.0,-214.882722789052
horseBarnMedium,HORSE,HORSE_DUN,16,143500.0,125.0,105.6,1,5300.0,84800.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,1048.32,110.88,-1062.44,228300.0,-214.882722789052
horseBarnMedium,HORSE,HORSE_GRAY,16,143500.0,125.0,105.6,1,5300.0,84800.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,1048.32,110.88,-1062.44,228300.0,-214.882722789052
horseBarnMedium,HORSE,HORSE_PALOMINO,16,143500.0,125.0,105.6,1,5300.0,84800.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,1048.32,110.88,-1062.44,228300.0,-214.882722789052
horseBarnMedium,HORSE,HORSE_PINTO,16,143500.0,125.0,105.6,1,5300.0,84800.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,1048.32,110.88,-1062.44,228300.0,-214.882722789052
horseBarnMedium,HORSE,HORSE_SEAL_BROWN,16,143500.0,125.0,105.6,1,5300.0,84800.0,"SORGHUM, BEETROOT, DRYGRASS_WINDROW",PARALLEL,1.05,65.52,1048.32,110.88,-1062.44,228300.0,-214.882722789052
pigBarn,PIG,PIG_BERKSHIRE,50,92000.0,125.0,165.0,1,1550.0,77500.0,"MAIZE, BEETROOT, BARLEY, CANOLA",PARALLEL,1.0,24.517,1225.85,165.0,-1185.85,169500.0,-142.935447147616
pigBarn,PIG,PIG_BLACK_PIED,50,92000.0,125.0,165.0,1,1550.0,77500.0,"MAIZE, BEETROOT, BARLEY, CANOLA",PARALLEL,1.0,24.517,1225.85,165.0,-1185.85,169500.0,-142.935447147616
pigBarn,PIG,PIG_LANDRACE,50,92000.0,125.0,165.0,1,1550.0,77500.0,"MAIZE, BEETROOT, BARLEY, CANOLA",PARALLEL,1.0,24.517,1225.85,165.0,-1185.85,169500.0,-142.935447147616
pigBarnBig,PIG,PIG_BERKSHIRE,275,189000.0,175.0,907.5,1,1550.0,426250.0,"MAIZE, BEETROOT, BARLEY, CANOLA",PARALLEL,1.0,24.517,6742.175,907.5,-6009.675,615250.0,-102.376584424283
pigBarnBig,PIG,PIG_BLACK_PIED,275,189000.0,175.0,907.5,1,1550.0,426250.0,"MAIZE, BEETROOT, BARLEY, CANOLA",PARALLEL,1.0,24.517,6742.175,907.5,-6009.675,615250.0,-102.376584424283
pigBarnBig,PIG,PIG_LANDRACE,275,189000.0,175.0,907.5,1,1550.0,426250.0,"MAIZE, BEETROOT, BARLEY, CANOLA",PARALLEL,1.0,24.517,6742.175,907.5,-6009.675,615250.0,-102.376584424283
pigBarnMedium,PIG,PIG_BERKSHIRE,109,134000.0,125.0,359.7,1,1550.0,168950.0,"MAIZE, BEETROOT, BARLEY, CANOLA",PARALLEL,1.0,24.517,2672.353,359.7,-2437.653,302950.0,-124.279378566186
pigBarnMedium,PIG,PIG_BLACK_PIED,109,134000.0,125.0,359.7,1,1550.0,168950.0,"MAIZE, BEETROOT, BARLEY, CANOLA",PARALLEL,1.0,24.517,2672.353,359.7,-2437.653,302950.0,-124.279378566186
pigBarnMedium,PIG,PIG_LANDRACE,109,134000.0,125.0,359.7,1,1550.0,168950.0,"MAIZE, BEETROOT, BARLEY, CANOLA",PARALLEL,1.0,24.517,2672.353,359.7,-2437.653,302950.0,-124.279378566186
sheepBarnBig,SHEEP,GOAT,68,97000.0,150.0,4794.0,0,1550.0,105400.0,DRYGRASS_WINDROW,SERIAL,1.0,2.8,190.4,4794.0,4453.6,202400.0,45.4463804562601
sheepBarnBig,SHEEP,GOAT,68,97000.0,150.0,4794.0,0,1550.0,105400.0,GRASS_WINDROW,SERIAL,1.0,2.25,153.0,4794.0,4491.0,202400.0,45.0679136049878
